2017-07-12 14:17:36,090 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-12 14:17:36,466 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-12 14:17:36,466 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-12 14:17:36,467 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-07-12 14:17:36,885 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@70ad2694{/help,null,AVAILABLE}
2017-07-12 14:17:37,560 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@16349303{HTTP/1.1,[http/1.1]}{127.0.0.1:50248}
2017-07-12 14:17:37,560 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @433563ms
2017-07-12 14:17:37,595 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@16349303{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-12 14:17:37,596 [Start Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-12 14:17:37,603 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@70ad2694{/help,null,UNAVAILABLE}
2017-07-12 14:17:37,607 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-12 14:17:37,608 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-12 14:17:37,609 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-12 14:17:37,609 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-07-12 14:17:37,614 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1d9e90b1{/help,null,AVAILABLE}
2017-07-12 14:17:37,621 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@23de2261{HTTP/1.1,[http/1.1]}{127.0.0.1:50253}
2017-07-12 14:17:37,622 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @433624ms
2017-07-12 14:52:55,774 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@23de2261{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-12 14:52:55,775 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-12 14:52:55,784 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1d9e90b1{/help,null,UNAVAILABLE}
2017-07-13 13:31:33,247 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-07-13 13:38:26,160 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @452094ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-13 13:38:26,928 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-13 13:38:27,013 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-13 13:38:27,013 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-13 13:38:27,016 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
2017-07-13 13:38:27,143 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1a062c0d{/help,null,AVAILABLE}
2017-07-13 13:38:27,224 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@699305e1{HTTP/1.1,[http/1.1]}{127.0.0.1:55398}
2017-07-13 13:38:27,225 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @453159ms
2017-07-13 15:25:30,123 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@699305e1{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-13 15:25:30,124 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-13 15:25:30,145 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1a062c0d{/help,null,UNAVAILABLE}
2017-07-14 10:20:20,461 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-07-14 10:21:31,336 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @107498ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-14 10:21:31,914 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-14 10:21:31,992 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-14 10:21:31,992 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-14 10:21:31,992 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
